crop_type,disease_name,disease_category,symptoms,affected_plant_part,biological_control,chemical_control,prevention_method,recommended_action_priority,farmer_advisory_note
Banana,Panama Disease,Fungal,Yellowing leaves; vascular discoloration; plant collapse,"Roots, Stem",Resistant varieties; quarantine,No reliable field chemical cure,Avoid contaminated soil movement,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Banana,Black Sigatoka,Fungal,Dark leaf streaks; leaf necrosis; small bunches,Leaves,Remove infected leaves,Systemic fungicide rotation,Improve spacing and drainage,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Citrus,Citrus Canker,Bacterial,Raised corky lesions with yellow halo,"Leaves, Fruit",Windbreaks and sanitation,Copper sprays,Use disease-free nursery plants,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Apple,Apple Scab,Fungal,Olive-brown leaf spots; cracked fruit lesions,"Leaves, Fruit",Remove fallen leaves,Captan or sulfur fungicide,Prune for airflow,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Grapes,Downy Mildew,Fungal/Oomycete,Oil spots on leaves; white downy growth,"Leaves, Fruit",Canopy management and sanitation,Copper or metalaxyl fungicide,Avoid dense canopy and wet leaves,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Mango,Anthracnose,Fungal,Black spots on flowers and fruits; blossom blight,"Flowers, Fruit",Pruning and sanitation,Copper or azoxystrobin spray,Improve orchard airflow,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Coffee,Coffee Leaf Rust,Fungal,Orange powdery spots under leaves; defoliation,Leaves,Resistant varieties and shade management,Triazole fungicide,Monitor during humid periods,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Tea,Tea Blister Blight,Fungal,Translucent spots; blister-like leaf lesions,Leaves,Remove infected shoots,Copper oxychloride or systemic fungicide,Improve pruning and sanitation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Chickpea,Ascochyta Blight,Fungal,"Brown lesions on leaves, stems, pods","Leaves, Stem, Pods",Disease-free seed,Seed treatment and fungicide spray,Crop rotation and residue management,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Lentil,Lentil Rust,Fungal,Orange pustules; leaf drop; poor pod filling,Leaves,Resistant varieties,Triazole fungicide,Avoid late sowing in humid zones,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Groundnut,Tikka Leaf Spot,Fungal,Brown/black leaf spots; defoliation,Leaves,Resistant cultivars; crop rotation,Mancozeb or chlorothalonil,Remove infected residues,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Sunflower,Downy Mildew,Fungal/Oomycete,Chlorotic leaves; white growth underside; stunting,"Leaves, Stem",Resistant hybrids; seed treatment,Metalaxyl seed treatment,Avoid waterlogging,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Barley,Barley Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Barley,Barley Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Barley,Barley Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Sorghum,Sorghum Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Sorghum,Sorghum Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Sorghum,Sorghum Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Millet,Millet Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Millet,Millet Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Millet,Millet Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Canola,Canola Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Canola,Canola Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Canola,Canola Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Garlic,Garlic Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Garlic,Garlic Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Garlic,Garlic Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Cauliflower,Cauliflower Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Cauliflower,Cauliflower Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Cauliflower,Cauliflower Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Carrot,Carrot Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Carrot,Carrot Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Carrot,Carrot Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Okra,Okra Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Okra,Okra Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Okra,Okra Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Pomegranate,Pomegranate Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Pomegranate,Pomegranate Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Pomegranate,Pomegranate Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Guava,Guava Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Guava,Guava Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Guava,Guava Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Cocoa,Cocoa Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Cocoa,Cocoa Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Cocoa,Cocoa Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Mung Bean,Mung Bean Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Mung Bean,Mung Bean Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Mung Bean,Mung Bean Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
Pea,Pea Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Pea,Pea Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,"Early detection, field sanitation, and targeted treatment",Use local agricultural extension guidance before applying any chemical.
Pea,Pea Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,Vector control and infected plant removal,Use local agricultural extension guidance before applying any chemical.
