crop_type,disease_name,disease_category,symptoms,affected_plant_part,biological_control,chemical_control,prevention_method,base_severity_index
Canola,Canola Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Garlic,Garlic Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Garlic,Garlic Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Garlic,Garlic Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Cauliflower,Cauliflower Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Cauliflower,Cauliflower Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Cauliflower,Cauliflower Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Carrot,Carrot Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Carrot,Carrot Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Carrot,Carrot Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Okra,Okra Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Okra,Okra Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Okra,Okra Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Pomegranate,Pomegranate Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Pomegranate,Pomegranate Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Pomegranate,Pomegranate Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Guava,Guava Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Guava,Guava Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Guava,Guava Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Cocoa,Cocoa Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Cocoa,Cocoa Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Cocoa,Cocoa Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Mung Bean,Mung Bean Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Mung Bean,Mung Bean Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Mung Bean,Mung Bean Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
Pea,Pea Leaf Spot,Fungal/Bacterial,Circular leaf spots; yellow halos; reduced photosynthesis,Leaves,Remove infected leaves; improve airflow,Copper or broad-spectrum fungicide,Field sanitation and crop rotation,62
Pea,Pea Root Rot,Fungal,Poor root growth; yellowing; wilting,Roots,Improve drainage; Trichoderma,Soil fungicide as per advisory,Avoid over-irrigation,66
Pea,Pea Mosaic Virus,Viral,Mottled leaves; stunting; distorted growth,Leaves,Vector management,No direct cure,Use virus-free seed and remove infected plants,80
